;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_41;Left;3;6.29797929;9.180541502;14.15268284;;;;;;
Donor_42;Right;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_42;Right;2;;;;;;;;;
Donor_42;Right;3;;;;;;;;;
Donor_42;Left;1;4.490166708;7.649426695;16.65929181;4.865457392;0.329787819;7.475525593;0.153296217;16.76182875;0.205516657
Donor_42;Left;2;5.109028422;7.417185096;16.62775503;;;;;;
Donor_42;Left;3;4.997177045;7.359964988;16.99843942;;;;;;
Donor_43;Right;1;5.108891651;14.02543575;14.57277306;5.412377526;0.331207614;13.73836784;1.633139428;14.44864055;0.548051455
Donor_43;Right;2;5.362574622;15.20893996;13.84916967;;;;;;
Donor_43;Right;3;5.765666305;11.98072782;14.92397893;;;;;;
Donor_43;Left;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_43;Left;2;;;;;;;;;
Donor_43;Left;3;;;;;;;;;
